Q,Clockwise,Random
138108.2,107521.2,346242.3
139775,141808.7,837174.1
127490.7,79141.21,358466.2
82353.03,55495.85,388733.9
122700.2,70591.79,492545.7
132757.5,117397.6,501949.3
163114.5,129127.3,718628.6
187815.4,118282.8,530566.9
163805.7,119009.4,582850.3
138978.5,139066.3,376246.9
188870.9,141767.3,251754.7
168918.8,150729.3,484336.8
116616.8,76160.96,400371.3
82578.77,47455.29,377044.3
121024.8,81009.66,398118.9
139341.2,152117.8,330769.8
146604,130687.2,1034548
158984.6,116958.4,494825
150780.4,94857.41,275323.5
139249.6,141275,394283
135055.6,137877.6,639598.9
139824.7,125607.8,689464.9
125010.1,63622.11,1073876
93769.21,47467.19,344422.9
124610.8,69962.38,487751.3
152271.2,118391.9,366629.8
155232.4,126471.7,421041.7
167371.8,124254.6,425723.3
151373.6,103259.3,1054690
119664.2,126425.2,591496.6
151443.3,128635.6,631118.5
138807.1,129046.6,687749.1
120827,63667.58,354757.8
87890.18,50234.07,304671.5
149186.2,70906.24,377471.5
142736.3,111511.2,525044.1
139154.3,160319.8,451912.2
171788,139309.8,437184.7
136925.1,117403.3,487344.6
124843.4,128543.9,509714.2
149968.4,197126.1,440381.3
136399.9,172971.1,561638.9
97611.48,84611.41,664315.8
82013.65,52304.27,213203.2
113260.3,72568.14,955781
158028.5,111117.9,487071.3
171990.9,131494.7,575682.3
184010,104074.6,464456.2
193558.3,115033.2,276231.6
110761.3,169868.1,544621.6
121459.9,163735.3,461140.8
166968.3,121159.5,704504
116157.9,68636.81,397182.5
85798.14,49867.29,333979.4
141488.1,66023.61,331140.9
117190.6,105246.5,367837.3
145099.3,231383.3,451378.7
134545.5,159086.9,450467.3
156515.4,131833.3,307014.6
125982.3,244042.4,298419
93909.13,202226,338246
111167.1,160646.5,477431.4
110507.1,83963.66,260129.3
81133.72,47962.24,198200.3
131882.1,71626.48,466837
101549.4,105771.8,335531.9
122356.3,124275.1,275116.4
138058.7,104363.4,497133.3
165713,111217,570731.8
116757.4,188956.4,583303.6
98723.54,158308.9,572355.3
113416.8,131070.4,461724.8
89925.96,70344.92,655152.8
73057.18,50662.41,424093.9
97560.23,77249.69,276431.3
103254.1,143642,885076.2
113264.6,124766.9,639904.9
124479,131485.2,577896.5
108734.8,108408.5,493293.8
94008.98,212918.6,489872.9
81802.02,223808.6,722332.4
113641.3,196714.1,499027.1
83133.51,73065.12,346731.7
70583.7,48206.27,227795.3
85877.15,77855.91,480086.3
104198.7,188586.6,431374.8
108096.3,150458.3,726791.5
162914.6,109180.2,491516.9
113667.1,100373.3,396945.1
119880.5,127032.6,268349.2
106985,124662.7,600692.2
123525.7,117015.8,563431.3
85047.95,65904.03,394026.6
68828.97,47914.62,1051007
108125.1,72576.45,575658.1
114981.1,166038.2,405216.5
125199.5,149358.5,1421649
149990.6,111095.8,342868.8
113291.4,120951,244907.7
101083.2,141841,385603
85287.88,194233.4,551740.7
113498.5,265419.7,451209.4
90676.94,77473.61,386115
61502.63,50348.33,198583.2
99360.87,78263.73,536400.6
139716,130289.1,727426.8
142244.2,103392.4,531302.8
151892.3,137029.9,560933.6
98012.84,111421,335076
88625.13,126564.1,388048.3
85638.52,139528.5,819193.8
87206.77,149107,536785.8
93747.49,79054.09,286028.7
67755.24,54794.55,288951.1
93596.86,75303.98,230665.6
124656.4,111763.5,749873.5
162033,171076.9,701583.8
174223.8,117484.8,293554.7
106914.8,124871.5,379818
83579.51,128449.6,517187.3
91842.01,147283.6,430101.7
122276.2,121526.3,345612.1
92215.26,91113.5,533182.6
67149.19,50396.11,263245.5
102136.3,73469.77,387128.2
117604.7,193305.1,901618.3
97476.46,191703.3,800146.7
114976.1,157639,398446.3
156174.9,111235.8,475082.6
80139.33,130082.8,325325.4
88171.58,130429.9,336373.8
116321.3,132724.5,449286.8
76053.55,75095.54,781710.4
57106.81,48474.35,199823.3
111807.1,68787.53,315448.6
92596.36,116711.2,502392.2
114870.9,107720.1,349507.4
121810.1,138131.5,500525.7
166661.8,114511.4,406097.9
73451.23,228746.4,583521.3
84274.39,136908.5,387358.2
91795.54,113368.6,496097.3
70840.5,89567.88,226721.9
59881.98,46897.02,231874.8
81534.81,71862.88,317021.9
98735.46,140048,350439.7
108043.6,133406.5,392593.1
130385.7,166474.4,426545.7
136848.2,179451.2,447375.8
86618.13,236150.9,594912.9
95559.59,133683.1,762923.1
80138.34,131683.1,754728.4
65524.35,71294.2,308183.1
64722.43,46767.8,188255.1
67640.76,68910.2,729469.3
95114.27,195524.6,284351.5
104999.1,147093.6,357270.3
91201,103978.1,708467.4
112004.7,136673.3,364075.9
81977.16,280838.4,241752.1
98510.32,143590.3,424108.3
93721.56,121134.1,270230.4
76196.38,81367.96,417376.8
58858.45,50294.59,179157.8
84014.73,73813.16,295710.5
81969.89,134918.1,555277.7
102511.8,118124.7,661624.9
95075.68,157713.8,505642.6
89555.63,131293.8,345188.7
77915.05,135183.5,486915.1
134925.1,157909,556412.5
85458.27,203762,480978.6
69447.05,99519.57,380487.1
59840.54,45875.95,139018
71746.63,79836.07,570722.3
88650.32,152070.8,1412335
84281.34,131319.7,900588.2
89510.48,122382.6,376554.8
84427.8,101834.7,373811.9
78627.55,120956,309105.3
107608,179076.2,430388.4
90533.85,183838,237722.3
82105.04,117194.7,555649.9
45283.63,49614.02,329908.8
70302.51,72907.97,614884.9
72227.01,110376,325095.8
88640.8,112371.8,407257.2
95540,104941.1,601607.9
114029.1,116737.5,511339
71929.42,204632.9,283399.9
66542.27,150499.4,510302.6
67266.55,142382.1,698866.4
57861.49,78704.3,424203
45905.47,47849.68,187811.3
62247.91,74270.15,215322.3
85533.45,129718.5,369990.1
89161.74,104251,303382
108962.9,116253.7,252457.6
98628.27,120655.8,277750
60897.05,173867.2,378384.1
63460.84,147367.4,397150.8
74682.46,123176.9,565410.8
56441.4,98812.1,743533.4
45377.23,48128.59,255951.7
60945.02,69712.89,629859.7
71038.92,106338,1302474
72800.17,133288.6,484529.6
81195.11,114649.5,303928.7
87649.18,105155.3,266204.8
59115.48,149763.9,384676.8
62491.46,116516,430085.8
80111.81,151503.1,489024.2
58450,94794.84,394303.4
45227.72,47294.15,266249.1
62317.87,69298.52,621580.8
86549.7,145290.7,336421.1
76072.66,164170.9,473709.1
79355.73,135848.4,447804.3
76243.27,107112.1,549951.7
58932.1,172877.9,592684.6
64820.38,128702.9,1050948
75622.76,132561.9,450223.3
55912.37,76436.25,1247042
44876.6,48517.8,594904.9
62716.51,72107.97,470387.2
95661.35,155978.2,549105.6
79984.53,147913.5,590866.4
87753.52,112953.6,532750.2
73441.39,126602.1,343334.8
59531.04,111344.9,446693.1
64597.2,138877.6,578463.3
79852.21,170544.6,641678.7
58181.08,90185.52,326014.3
45392.68,47511.67,307504.3
62005.93,70703.68,338386.4
72642.37,125020.8,232252.3
75080.64,120989.1,476955.6
79826.38,105398.1,1993136
77464.01,122538.3,481764.1
58865.61,240489,422978
62238.33,175450.7,428236.6
68877.38,148632.5,600412.6
54882.87,66812.11,986759.9
46099.49,46244.91,314465.7
63668.14,72854.71,286253.9
69956.26,115176.1,490501.1
76314.97,138852.5,512655.8
84105.25,116028.8,440606.7
78257.61,147392.8,572923.2
58320.86,276334.7,645084.2
62617.63,141543.9,395481.8
70170.51,123930.5,1065502
57538.34,71117.3,451054.9
45414.66,47849.87,181087.4
64710.11,75267.31,262144.3
72966.41,113448.3,230180.9
74556.25,143490.3,285443.7
85581.11,122535.5,631663.9
75250.14,114032.5,381986
60162.38,143696.9,254820.5
63553.69,131416.5,401685.2
65971.91,168352.5,522558.1
56233.79,74066.25,399363.6
45218.9,47625.24,410206.6
63098.59,69479.07,422759.4
74627.36,135481.1,326569.1
74638.44,114964.1,451383.3
83648.65,110495.4,456875.8
76979.94,112851,552336.6
58890.2,138408.8,364293.6
64154.63,110713.9,284664.4
69756.34,108059.7,470776.2
59217.05,90221.2,267168.5
44074.59,47642.88,183456.4
69170.08,81055.6,210083.6
69662.51,142148.9,451011.1
77990.92,150956.2,593635.6
83195.22,232858.4,473337.5
76961.46,126558.1,618613.1
61611.42,265644.3,493844.2
69340.57,197238.4,514292.9
71879.04,131829.5,431845.9
56223.23,76022.23,266858.3
46100.05,47136.45,164313.3
64429.13,75254.93,495786
71527.98,116330,532243.1
72895.25,121128,663145.2
81245.93,112522.4,468659.3
73177.86,103964.4,923512.6
62055.19,173330.9,311929
66057.05,180829.7,761221.7
67722.8,152380.5,288595.1
57316.55,123753.9,471577.3
45707.68,47074.7,315818.2
62307.65,74999.98,470988.6
69065.07,142700.8,693082.8
71054.07,144164.4,353793
72496.26,106976.1,747652
67356.57,100183.1,747050.9
53780.54,159316.6,585943.2
57783.65,126699.2,894867.6
64914.38,146150.4,542487
57793.31,68641.39,821365.1
45562.34,50097.26,380449.2
61306.89,69808.43,318381.7
66598.06,151031,576235.4
65919.09,136594.5,571770.1
81701.35,113285.1,774990.8
70412.15,119583,286644.7
54799.67,124917.5,394492.2
58234.02,141423.9,456486.9
60944.99,184217.2,571298.4
54953.43,82296.63,494231.9
45924.64,48719.75,161663.2
58338.7,76943.3,390380.3
64240.9,154583.2,519823.8
72530.04,170454.8,990255.9
76628.13,103725.6,374875
67577.54,115496.4,509602.6
54805.27,128138.5,438314.2
59540.22,202610.7,407079.7
62695.2,246807.1,632517.1
55508.98,83620.45,359428.7
45220.84,47943.74,199880.1
59630.17,68714.77,406790.7
63360.29,117620,1049007
68743.4,190554.1,378619.7
72250.67,141257.2,870706.9
67559.3,110892.1,369098.7
56345.13,228725,309893.9
62930.43,166410.4,387869.1
67935.84,141118.8,397059.8
56581.79,75782.51,587235.4
46274.95,46371.15,196650
62392.31,68190.65,394111.1
67438.17,132205.8,828019.8
77515.03,119986.1,338797.6
87110.31,122278.6,1016549
77922.02,111738,438907.8
58391.57,187494.2,816520.6
64330.36,182375.7,561710.4
68595.95,127400.5,386431.3
56355.14,78712.52,253369.3
46002.1,46667.28,241121.9
63121.69,66489.6,507383.6
69512.88,144011,325207.3
76727.33,119658.5,600016.6
82999.66,128156.2,842404.6
77705.4,102562.8,326772.1
57581.75,178208.2,419356.2
