Counter,Q,Time
0,0,0
0,0,0
0.1560248,0.3361996,0
0.3599995,2.017697,0
0.672399,3.086996,0
1.166398,5.935616,0
1.638397,8.592836,0
2.310396,11.93218,0
2.811395,11.69499,0
3.963644,15.27926,0
5.389264,21.49094,0
6.27773,27.52944,0
8.101288,34.01557,0
10.70568,42.38974,0
12.38118,46.56582,0
16.36933,61.71759,0
20.94859,67.46763,0
26.95195,79.98534,0
32.48649,73.4058,0
36.56615,103.1554,0
44.6636,130.8445,0
53.3313,149.9598,0
65.09322,167.9145,0
76.90272,187.6791,0
89.81529,197.8698,0
103.6039,233.2342,0
111.2309,225.9707,0
133.6749,251.1428,0
130.9905,273.398,0
147.0227,287.1013,0
164.0043,329.7144,0
183.2433,366.0747,0
208.1988,402.1534,0
223.7448,425.9917,0
245.8924,470.1157,0
260.885,531.4547,0
297.0863,563.1512,0
297.0863,618.4937,0
356.6043,673.2191,0
328.2177,746.8712,0
422.9861,811.6711,0
464.4756,875.2122,0
499.5858,940.7002,0
539.2598,976.6781,0
578.1254,1067.03,0
626.2263,1143.182,0
681.8755,1217.936,0
730.1038,1296.902,0
793.1209,1339.297,0
827.7811,1387.662,0
907.8511,1510.888,0
944.0292,1588.971,0
1006.542,1688.902,0
1102.968,1786.974,0
1183.275,1831.313,0
1230.345,1962.313,0
1340.004,2068.421,0
1474.053,2153.459,0
1550.923,2249.706,0
1670.47,2370.654,0
1714.142,2528.664,0
1873.824,2654.346,0
1975.089,2778.735,0
2102.261,2845.935,0
1820.81,2970.308,0
1861.979,3120.765,0
1949.676,3281.998,0
1995.664,3361.694,0
2158.263,3543.452,0
2271.681,3668.224,0
2384.509,3744.483,0
2447.26,3982.989,0
2583.789,4162.331,0
2665.596,4259.211,0
2816.295,4322.377,0
2616.79,4576.058,0
3060.711,4786.754,0
3186.745,4984.492,0
3322.233,5179.601,0
3495.403,5395.894,0
3585.752,5493.896,0
3741.874,5820.378,0
3849.52,5979.653,0
4043.715,6266.736,0
4216.316,6416.044,0
4344.045,6522.136,0
4546.68,6921.533,0
4706.86,7095.843,0
4936.575,7377.918,0
5133.699,7565.098,0
5250.494,7854.52,0
5514.811,8145.956,0
