Q,Counter
0,0
0,0
0.1225,0.1156
0.4004996,0.3135997
0.6328993,0.6560993
1.242899,1.072999
1.986497,1.639998
2.923696,2.504897
4.538993,3.671295
6.257391,4.975393
8.044489,6.73619
10.14028,8.732687
12.46428,11.42498
15.97388,14.42118
17.80987,18.02517
23.80596,22.97877
28.62736,28.32916
34.17725,34.77325
41.10594,40.14354
48.45448,47.91394
57.13771,53.03278
64.75729,57.3822
74.95968,70.47426
85.28547,81.22
94.90836,94.11771
110.0665,105.8338
126.7263,119.7379
143.5665,135.4126
156.4,144.0527
174.9625,166.3062
196.7878,188.0893
206.0079,199.6409
233.314,204.9818
258.4833,248.6514
280.7677,273.8461
313.9819,169.8376
338.2867,97.41989
369.2954,95.6705
404.8383,98.24662
435.0365,106.0464
471.2856,117.8619
491.7338,125.4845
536.0392,131.7678
577.5604,146.853
621.1552,155.8909
653.2895,169.8039
696.4196,183.3387
722.6937,142.875
790.2696,173.5625
823.2632,225.9611
875.5463,244.22
932.4134,258.0876
961.7543,278.5457
1035.175,268.3176
1098.759,309.8791
1162.197,327.2495
1216.563,319.0406
1284.79,364.0063
1358.82,387.6805
1403.381,406.3864
1529.481,431.568
1606.031,453.5207
1645.319,477.5185
1771.146,494.081
1856.227,527.3523
1952.356,555.8167
2035.102,588.3562
2137.606,622.6052
2230.225,658.5822
2293.49,678.7911
2442.664,715.7895
2568.637,761.4235
2623.237,804.0678
2776.08,844.8788
1954.418,881.4493
1022.918,921.3103
905.3475,662.8829
579.1179,699.0837
575.3101,735.1954
582.8436,774.5079
615.5895,811.8595
654.0037,858.166
672.5073,881.1033
716.1731,1013.779
750.9526,1125.614
785.3471,885.429
831.8856,1195.747
699.9125,1351.885
760.309,1413.987
896.2158,1489.638
991.1268,1553.546
1015.701,1625.668
1059.606,1659.572
1102.875,1745.046
1161.312,1813.744
1195.19,1887.851
1256.854,1984.274
1305.38,2066.153
1357.714,2109.818
1398.759,2187.825
1430.288,2294.99
1500.613,2389.72
1559.876,2483.181
1618.371,2558.244
1663.491,2656.628
1743.204,2748.958
1798.634,2852.903
1861.318,2969.247
1937.8,3074.539
2026.346,3187.676
2102.4,3263.169
2177.716,3381.557
2211.221,3503.201
2064.68,2726.48
2133.381,2630.782
2209.614,2683.573
2271.908,2747.69
2359.608,2827.517
2443.112,2927.059
2478.652,3033.622
2569.425,3090.395
2659.179,3245.753
2755.487,3355.981
2826.65,3474.221
2923.954,3116.676
2917.994,3435.518
3070.852,3836.496
3182.348,3967.066
3309.501,4104.488
3415.744,4250.018
3510.451,4378.302
3607.359,4471.605
3736.689,4623.856
3880.294,4766.73
3948.514,4912.797
4082.461,5096.431
4231.273,5249.689
