Counter,Q,Time
0,0,0
0,0,0
0.6049995,0.5617993,0
0.9263991,1.080449,0
1.843198,2.121797,0
3.395696,3.432195,0
5.573193,4.898442,0
8.006389,6.47999,0
11.06768,7.449788,0
10.43159,9.592223,0
13.88278,12.10329,0
16.91397,13.46817,0
21.35297,16.18825,0
22.20697,19.09649,0
26.96426,20.99555,0
32.35545,24.64066,0
35.96745,27.4546,0
43.09993,30.96912,0
50.10034,32.96793,0
58.57397,37.35808,0
67.64931,42.53266,0
76.839,45.29635,0
92.62559,53.29809,0
106.0514,60.22384,0
113.2826,66.08733,0
130.1845,73.4118,0
146.5998,77.13963,0
163.5884,88.79247,0
183.5616,98.82793,0
155.3163,109.3369,0
173.229,123.5825,0
192.4234,135.6797,0
204.7716,151.0251,0
234.9098,166.7588,0
258.2192,182.6895,0
284.159,200.2127,0
298.9312,212.8461,0
331.232,237.171,0
363.119,259.3405,0
395.6125,284.6671,0
343.2898,309.7012,0
446.5452,335.8071,0
485.6501,372.9115,0
508.5827,387.0195,0
569.1727,431.6667,0
613.4395,466.1658,0
660.0056,482.7051,0
684.1525,543.5786,0
736.309,586.0472,0
779.9968,612.1766,0
840.5513,659.4931,0
870.837,717.3968,0
931.1686,767.4731,0
994.2505,835.5612,0
1030.788,868.3096,0
1112.114,940.204,0
1185.947,954.6582,0
1262.977,1064.276,0
1302.709,1128.959,0
1384.623,1199.188,0
1483.378,1273.974,0
1565.749,1347.33,0
1665.634,1420.385,0
1758.291,1497.87,0
1807.803,1585.198,0
1925.568,1259.127,0
2040.135,932.4122,0
2137.755,943.4377,0
1881.006,941.8106,0
1979.109,952.595,0
2080.727,1012.777,0
2198.823,1056.832,0
2259.577,1096.785,0
2384.505,1168.164,0
2444.094,1065.417,0
2580.783,1278.993,0
2707.834,1300.778,0
2783.101,1301.112,0
2906.581,1447.599,0
3033.919,1500.78,0
2646.653,1564.152,0
3300.362,1666.867,0
3463.16,1693.736,0
3546.616,1799.652,0
3686.704,1846.638,0
3855.95,1923.644,0
4058.564,2008.908,0
4238.234,2062.776,0
4333.463,2144.288,0
4535.327,2223.21,0
4620.724,2312.298,0
4839.028,2427.358,0
5011.135,2490.301,0
