Q,Counter
0,0
0,0
0.2311999,0.08999999
0.6561995,0.2915998
1.414598,0.6399993
2.364197,1.107199
3.780995,1.667198
4.688194,2.044297
6.94909,3.209095
9.536587,4.445994
12.36108,6.073991
13.86108,7.03319
18.67147,10.26359
23.11107,13.52608
28.13236,17.26567
34.37595,20.32567
41.22073,24.80296
48.58883,30.17845
56.85451,36.08694
66.97289,43.51734
77.79488,51.25377
89.78027,60.36641
98.80437,68.69224
117.2506,80.7473
124.5514,86.97935
141.5725,101.555
158.4943,116.3341
179.3396,131.8294
200.0665,148.7001
217.372,168.5994
238.7903,187.5197
263.7713,207.7952
278.6254,218.4476
314.9825,248.2809
347.6195,273.8297
219.7361,285.9718
163.6745,310.7794
138.2488,347.4912
139.237,377.2491
152.3118,416.0922
165.0457,448.162
175.5208,483.5564
187.2061,519.1024
200.8035,567.4793
218.752,605.2983
222.9938,650.9568
245.5045,684.1323
179.1076,736.4651
195.0799,785.8696
292.3994,816.1552
311.5003,876.6769
332.5059,937.6363
343.9087,993.3369
349.2313,1051.324
392.6338,1111.716
414.8615,1177.63
442.6973,1246.261
463.6571,1327.636
492.0744,1409.214
506.8203,1409.214
538.7438,1639.481
567.3242,1865.025
598.6305,1865.025
631.3121,2060.394
645.9506,2212.119
664.4771,2336.902
716.8478,2401.063
761.2346,2527.788
799.084,2664.34
840.4045,2800.231
885.4395,2917.962
924.4901,2905.236
964.9792,3028.903
1011.181,3179.672
1063.569,3311.164
1115.761,3446.324
691.6636,3585.166
549.2733,3747.492
581.6537,3883.331
615.4864,4046.666
634.5524,4158.048
682.4966,4314.461
718.9272,4318.901
760.5532,4597.111
805.996,4845.335
853.5704,5033.9
905.4722,5210.849
931.2872,5333.769
984.7321,5525.888
1038.224,5713.812
1091.54,5809.325
1139.3,6084.197
1188.648,6293.763
1256.063,6555.455
1349.452,6689.007
1408.53,6902.516
1473.87,7130.529
1504.777,7251.467
1587.29,7580.672
1662.972,7834.13
1741.297,8082.326
1779.691,8291.278
1894.837,8549.038
1988.465,8697.069
2077.488,8998.203
2177.479,9354.071
2276.703,9633.083
2357.862,9917.544
2494.012,10131.33
2594.354,10412.5
2645.614,10725.07
2764.834,10896.93
2882.923,7227.344
3004.604,5975.248
3114.088,4797.846
3231.814,3296.74
2780.965,2832.384
2517.62,2384.658
2202.095,2103.616
2097.789,1875.886
2140.673,1815.143
2188.319,1850.91
2251.33,1850.056
2317.305,1905.714
2380.711,1963.226
2437.024,1654.344
2518.927,1529.406
2612.644,2142.935
2694.612,1918.344
2657.602,2288.653
2855.956,2348.787
2892.006,2268.223
2990.947,2353.009
3104.441,2515.96
3140.318,2574.773
3226.346,2662.893
